fecha,marca,zona,tipo_cristal,precio_ipc
2025-04-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,39633.084507638865
2025-04-01,FIAT,Rosario,Aleta/Ventilete,37231.079385963785
2025-04-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,72060.15365025248
2025-04-01,FORD,CABA,Aleta/Ventilete,48025.70348224948
2025-04-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,45281.37756897809
2025-04-01,FORD,Rosario,Aleta/Ventilete,42537.05165570669
2025-04-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,82329.77739814197
2025-04-01,PEUGEOT,CABA,Aleta/Ventilete,131838.40606118127
2025-04-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,130727.30087939004
2025-04-01,PEUGEOT,Rosario,Aleta/Ventilete,129616.1956975988
2025-04-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,145727.2208335718
2025-04-01,RENAULT,CABA,Aleta/Ventilete,49901.89723376588
2025-04-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,47050.360248979254
2025-04-01,RENAULT,Rosario,Aleta/Ventilete,44198.823264192644
2025-04-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,85546.10954359865
2025-04-01,TOYOTA,CABA,Aleta/Ventilete,42514.24031316181
2025-04-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,40084.85515240971
2025-04-01,TOYOTA,Rosario,Aleta/Ventilete,37655.46999165761
2025-04-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,72881.5548225631
2025-04-01,VOLKSWAGEN,CABA,Aleta/Ventilete,45667.592810924725
2025-04-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,43058.01607887189
2025-04-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,40448.43934681905
2025-04-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,78287.30196158524
2023-12-01,CHEVROLET,CABA,Custodia/Coleta,231616.3584204144
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,218381.13793924786
2023-12-01,CHEVROLET,Rosario,Custodia/Coleta,205145.9174493094
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,397056.6144349961
2023-12-01,FIAT,CABA,Custodia/Coleta,186315.47571085472
2023-12-01,FIAT,CORD_TUC_STAFE,Custodia/Coleta,175668.8770988059
2023-12-01,FIAT,Rosario,Custodia/Coleta,165022.2784797008
2023-12-01,FIAT,TIERRA DEL FUEGO,Custodia/Coleta,319397.95836146525
2023-12-01,FORD,CABA,Custodia/Coleta,99738.77307219699
2023-12-01,FORD,CORD_TUC_STAFE,Custodia/Coleta,94039.4146109286
2023-12-01,FORD,Rosario,Custodia/Coleta,88340.05614588282
2023-12-01,FORD,TIERRA DEL FUEGO,Custodia/Coleta,170980.75383805198
2023-12-01,PEUGEOT,CABA,Custodia/Coleta,155852.8666778354
2023-12-01,PEUGEOT,CORD_TUC_STAFE,Custodia/Coleta,146946.98858195913
2023-12-01,PEUGEOT,Rosario,Custodia/Coleta,138041.11048018024
2023-12-01,PEUGEOT,TIERRA DEL FUEGO,Custodia/Coleta,267176.3428762893
2023-12-01,RENAULT,CABA,Custodia/Coleta,223169.679340868
2023-12-01,RENAULT,CORD_TUC_STAFE,Custodia/Coleta,210417.1262356756
2023-12-01,RENAULT,Rosario,Custodia/Coleta,197664.57312203108
2023-12-01,RENAULT,TIERRA DEL FUEGO,Custodia/Coleta,382576.5931557737
2023-12-01,TOYOTA,CABA,Custodia/Coleta,298315.4259845175
2023-12-01,TOYOTA,CORD_TUC_STAFE,Custodia/Coleta,281268.8302139737
2023-12-01,TOYOTA,Rosario,Custodia/Coleta,264222.2344321318
2023-12-01,TOYOTA,TIERRA DEL FUEGO,Custodia/Coleta,511397.87311631575
2023-12-01,VOLKSWAGEN,CABA,Custodia/Coleta,117123.78620843383
