fecha,marca,zona,tipo_cristal,precio_ipc,instalacion_ipc
2024-02-01,VOLKSWAGEN,CABA,Custodia/Coleta,96412.01578494585,35221.78841642356
2024-02-01,VOLKSWAGEN,CABA,Luneta,248030.87444852982,57418.78224242959
2024-02-01,VOLKSWAGEN,CABA,Parabrisas,346928.10056584317,80593.31385089437
2024-02-01,VOLKSWAGEN,CABA,Puerta,97033.97982906815,23481.07756245583
2024-02-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,70129.62418044946,38479.80384494274
2024-02-01,VOLKSWAGEN,CORD_TUC_STAFE,Custodia/Coleta,90902.7577400918,38479.80384494274
2024-02-01,VOLKSWAGEN,CORD_TUC_STAFE,Luneta,233857.68162289952,62730.01959985435
2024-02-01,VOLKSWAGEN,CORD_TUC_STAFE,Parabrisas,327103.63767636643,88048.19538210209
2024-02-01,VOLKSWAGEN,CORD_TUC_STAFE,Puerta,91489.18098169283,25653.077236983
2024-02-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,65879.34392708889,38479.80384494274
2024-02-01,VOLKSWAGEN,Rosario,Custodia/Coleta,85393.49969523774,38479.80384494274
2024-02-01,VOLKSWAGEN,Rosario,Luneta,219684.48879726927,62730.01959985435
2024-02-01,VOLKSWAGEN,Rosario,Parabrisas,307279.1747868897,88048.19538210209
2024-02-01,VOLKSWAGEN,Rosario,Puerta,85944.38213431752,25653.077236983
2024-02-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,127508.40760081721,69034.70529619018
2024-02-01,VOLKSWAGEN,TIERRA DEL FUEGO,Custodia/Coleta,165277.74134562144,69034.70529619018
2024-02-01,VOLKSWAGEN,TIERRA DEL FUEGO,Luneta,425195.7847689082,112540.81319516205
2024-02-01,VOLKSWAGEN,TIERRA DEL FUEGO,Parabrisas,594733.8866843026,157962.89514775298
2024-02-01,VOLKSWAGEN,TIERRA DEL FUEGO,Puerta,166343.9654212597,46022.91202241344
2024-03-01,CHEVROLET,CABA,Aleta/Ventilete,69388.35044135446,34901.4250154415
2024-03-01,CHEVROLET,CABA,Custodia/Coleta,180336.50917294645,34901.4250154415
2024-03-01,CHEVROLET,CABA,Luneta,202166.7291721889,57224.652248992585
2024-03-01,CHEVROLET,CABA,Parabrisas,302657.51091413054,79419.96798285304
2024-03-01,CHEVROLET,CABA,Puerta,97513.77471274021,24959.68504194682
2024-03-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,65423.30184470565,38129.80682936984
2024-03-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,170031.56579163525,38129.80682936984
2024-03-01,CHEVROLET,CORD_TUC_STAFE,Luneta,190614.34464806385,62517.93258202439
2024-03-01,CHEVROLET,CORD_TUC_STAFE,Parabrisas,285362.7960047517,86766.31502126694
2024-03-01,CHEVROLET,CORD_TUC_STAFE,Puerta,91941.55901486934,27268.45590832691
2024-03-01,CHEVROLET,Rosario,Aleta/Ventilete,61458.25324805682,38129.80682936984
2024-03-01,CHEVROLET,Rosario,Custodia/Coleta,159726.62241032402,38129.80682936984
2024-03-01,CHEVROLET,Rosario,Luneta,179061.96012393874,62517.93258202439
2024-03-01,CHEVROLET,Rosario,Parabrisas,268068.0810953728,86766.31502126694
2024-03-01,CHEVROLET,Rosario,Puerta,86369.34331699846,27268.45590832691
2024-03-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,118951.45789946482,68406.79303026534
