fecha,marca,zona,tipo_cristal,precio,instalacion
2024-10-01,PEUGEOT,CABA,Custodia/Coleta,76474.40984851506,26566.34717559879
2024-10-01,PEUGEOT,CABA,Luneta,155057.4825642697,41558.4227547537
2024-10-01,PEUGEOT,CABA,Parabrisas,252882.9087272924,57788.45506178312
2024-10-01,PEUGEOT,CABA,Puerta,51948.41123446297,18998.87061701889
2024-10-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,138142.40780918274,29023.73428934168
2024-10-01,PEUGEOT,CORD_TUC_STAFE,Custodia/Coleta,72104.44357145707,29023.73428934168
2024-10-01,PEUGEOT,CORD_TUC_STAFE,Luneta,146197.0549891686,45402.57685956842
2024-10-01,PEUGEOT,CORD_TUC_STAFE,Parabrisas,238432.4568000186,63133.88715499806
2024-10-01,PEUGEOT,CORD_TUC_STAFE,Puerta,48979.930592493656,20756.26614909313
2024-10-01,PEUGEOT,Rosario,Aleta/Ventilete,137437.05835518267,29023.73428934168
2024-10-01,PEUGEOT,Rosario,Custodia/Coleta,67734.47729439907,29023.73428934168
2024-10-01,PEUGEOT,Rosario,Luneta,137336.62741406748,45402.57685956842
2024-10-01,PEUGEOT,Rosario,Parabrisas,223982.00487274473,63133.88715499806
2024-10-01,PEUGEOT,Rosario,Puerta,46011.44995052435,20756.26614909313
2024-10-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,147664.62543818346,52070.040464173624
2024-10-01,PEUGEOT,TIERRA DEL FUEGO,Custodia/Coleta,131098.98831174013,52070.04046417362
2024-10-01,PEUGEOT,TIERRA DEL FUEGO,Luneta,265812.8272530338,81454.50859931725
2024-10-01,PEUGEOT,TIERRA DEL FUEGO,Parabrisas,433513.55781821563,113265.37192109493
2024-10-01,PEUGEOT,TIERRA DEL FUEGO,Puerta,89054.41925907937,37237.78640935702
2024-10-01,RENAULT,CABA,Aleta/Ventilete,48448.44391627756,26566.34717559879
2024-10-01,RENAULT,CABA,Custodia/Coleta,111005.23283448807,26566.34717559879
2024-10-01,RENAULT,CABA,Luneta,125929.57394668921,38106.97586537188
2024-10-01,RENAULT,CABA,Parabrisas,192051.75483375727,57049.55776743394
2024-10-01,RENAULT,CABA,Puerta,54408.78906267454,18998.87061701889
2024-10-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,45679.96140677598,29023.73428934168
2024-10-01,RENAULT,CORD_TUC_STAFE,Custodia/Coleta,104662.07667251733,29023.73428934168
2024-10-01,RENAULT,CORD_TUC_STAFE,Luneta,118733.59829259271,41631.87113291878
2024-10-01,RENAULT,CORD_TUC_STAFE,Parabrisas,181077.3688432569,62326.64186092158
2024-10-01,RENAULT,CORD_TUC_STAFE,Puerta,51299.715401950285,20756.26614909313
2024-10-01,RENAULT,Rosario,Aleta/Ventilete,42911.478897274406,29023.73428934168
2024-10-01,RENAULT,Rosario,Custodia/Coleta,98318.92051054657,29023.73428934168
2024-10-01,RENAULT,Rosario,Luneta,111537.62263849618,41631.87113291878
2024-10-01,RENAULT,Rosario,Parabrisas,170102.98285275648,62326.64186092158
2024-10-01,RENAULT,Rosario,Puerta,48190.64174122603,20756.26614909313
2024-10-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,83054.47528504724,52070.04046417362
2024-10-01,RENAULT,TIERRA DEL FUEGO,Custodia/Coleta,190294.68485912235,52070.04046417362
2024-10-01,RENAULT,TIERRA DEL FUEGO,Luneta,215879.26962289578,74689.67269612888
2024-10-01,RENAULT,TIERRA DEL FUEGO,Parabrisas,329231.5797150125,111817.13322417052
2024-10-01,RENAULT,TIERRA DEL FUEGO,Puerta,93272.2098217278,37237.78640935702
